Food Description,Calories (kcal),Total Fat (g),Cholesterol (mg),Carbohydrate (g),Sugar (g),Protein (g),cluster
"VANILLA EXTRACT,IMITN,ALCOHOL",237.0,0.0,0.0,2.41,8.256540404040422,0.05,1
"VANILLA EXTRACT,IMITN,NO ALCOHOL",56.0,0.0,0.0,14.4,14.4,0.03,1
"VINEGAR,DISTILLED",18.0,0.0,0.0,0.04,0.04,0.0,1
"CAPERS,CANNED",23.0,0.86,0.0,4.89,0.41,2.36,1
"HORSERADISH,PREPARED",48.0,0.69,0.0,11.29,7.99,1.18,1
"ROSEMARY,FRESH",131.0,5.86,0.0,20.7,8.256540404040422,3.31,1
"PEPPERMINT,FRESH",70.0,0.94,0.0,14.89,8.256540404040422,3.75,1
"SPEARMINT,FRESH",44.0,0.73,0.0,8.41,8.256540404040422,3.29,1
"SPEARMINT,DRIED",285.0,6.03,0.0,52.04,8.256540404040422,19.93,0
"VINEGAR,RED WINE",19.0,0.0,41.551994091580504,0.27,0.0,0.04,1
"VINEGAR,BALSAMIC",88.0,0.0,41.551994091580504,17.03,14.95,0.49,1
"CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX",188.0,0.0,0.0,56.29,18.76,0.0,0
GERBER GRADUATES FRUIT STRIPS REAL FRUIT BARS,330.0,2.24,0.0,76.61,68.65,0.82,0
ZWIEBACK,426.0,9.7,8.0,74.2,12.5,10.1,0
"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PDR,NOT RECON",483.0,22.0,4.0,54.8,54.0,16.5,0
"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PREP FROM PDR",88.0,4.48,1.0,8.57,7.4,3.33,1
"In for, M JOHN, ENF, ENFAC LIP, with ir, po, wi ARA and DH",514.0,27.0,16.0,56.0,51.0,12.5,0
"CHILD FORMULA,ABBOTT NUTR,PEDIASURE,RTF (FORMERLY ROSS)",99.0,4.77,2.0,11.15,10.5,2.86,1
"CHI FORMU,ABBT NUTR,PEDIASU,RTF,W/ IRON & FIB (FORMER ROSS)",99.0,4.7,2.0,11.28,7.6,2.8,1
"TODDLER FORMULA, MEAD JOHNSON, ENFAGROW PREMIUM, RTF",64.0,3.63,1.0,7.18,7.18,1.78,1
"FAT,BEEF TALLOW",902.0,100.0,109.0,0.0,0.0,0.0,0
LARD,902.0,100.0,95.0,0.0,0.0,0.0,0
"SALAD DRSNG,KRAFT MAYO LT MAYO",334.0,32.9,35.0,8.5,4.2,0.6,1
"SALAD DRSNG,KRAFT MAYO FAT FREE MAYO DRSNG",70.0,2.7,10.0,12.4,6.8,0.2,1
"SALAD DRSNG,KRAFT MIRACLE WHIP FREE NONFAT DRSNG",84.0,2.7,9.0,15.5,10.3,0.2,1
"SALAD DRSNG,RUSSIAN DRSNG",355.0,26.18,0.0,31.9,17.68,0.69,0
"SALAD DRSNG,SESAME SD DRSNG,REG",443.0,45.2,0.0,8.6,8.32,3.1,0
"SALAD DRSNG,1000 ISLAND,COMM,REG",370.0,35.06,26.0,14.64,15.18,1.09,0
"SALAD DRSNG,MAYO TYPE,REG,W/SALT",390.0,33.4,26.0,23.9,6.4,0.9,0
"SALAD DRSNG,FRENCH DRSNG,RED FAT",222.0,11.52,0.0,31.22,16.86,0.58,0
"SALAD DRSNG,ITALIAN DRSNG,RED FAT",75.0,6.38,6.0,4.57,4.55,0.47,1
"SALAD DRSNG,RUSSIAN DRSNG,LO CAL",141.0,4.0,6.0,27.6,21.87,0.5,1
"SALAD DRSNG,1000 ISLAND DRSNG,RED FAT",195.0,11.32,11.0,24.06,17.31,0.83,1
"SALAD DRSNG,MAYO,SOYBN OIL,W/SALT",718.0,79.39,38.0,3.16,1.08,0.9,0
"SALAD DRSNG,MAYO,SOYBN&SAFFLOWER OIL,W/SALT",717.0,79.4,59.0,2.7,0.48,1.1,0
"SALAD DRSNG,MAYO,IMITN,SOYBN",232.0,19.2,24.0,16.0,6.0,0.3,1
"SALAD DRSNG,MAYO,IMITN,MILK CRM",97.0,5.1,43.0,11.1,8.256540404040422,2.1,1
"SALAD DRSNG,MAYO,IMITN,SOYBN WO/CHOL",482.0,47.7,0.0,15.8,6.0,0.1,0
"SANDWICH SPRD,W/CHOPD PICKLE,REG,UNSPEC OILS",389.0,34.0,76.0,22.4,15.18,0.9,0
"SHORTENING,HOUSEHOLD,PARTIALLY HYDROG SOYBN -COTTONSEED",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED)",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,RICE BRAN",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,WHEAT GERM",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,PNUT,SALAD OR COOKING",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,SOYBN,SALAD OR COOKING",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,COCNT",862.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,OLIVE,SALAD OR COOKING",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,PALM",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,SESAME,SALAD OR COOKING",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,SUNFLOWER,LINOLEIC (LESS THAN 60%)",884.0,100.0,0.0,0.0,0.0,0.0,0
"MARGARINE,REG,HARD,SOYBN (HYDR)",719.0,80.5,0.0,0.9,0.0,0.9,0
"SALAD DRSNG,ITALIAN DRSNG,COMM,REG",291.0,28.37,0.0,10.43,8.32,0.38,1
"SALAD DRSNG,FRENCH DRSNG,COMM,REG",457.0,44.81,0.0,15.58,15.95,0.77,0
"VEG OIL SPRD,UNSPEC OILS,APPROX 37% FAT,W/ SALT",339.0,37.77,0.0,0.66,0.0,0.51,1
"SALAD DRSNG,FRENCH,HOME RECIPE",631.0,70.2,0.0,3.4,8.256540404040422,0.1,0
"SALAD DRSNG,HOME RECIPE,CKD",157.0,9.5,57.0,14.9,9.07,4.2,1
"SALAD DRSNG,HOME RECIPE,VINEGAR&OIL",449.0,50.1,0.0,2.5,2.5,0.0,0
"SALAD DRSNG,FRENCH DRSNG,COMM,REG,WO/ SALT",459.0,44.81,0.0,15.58,15.95,0.77,0
"SALAD DRSNG,FRENCH DRSNG,RED FAT,WO/ SALT",233.0,13.46,0.0,29.28,28.45,0.58,0
"SALAD DRSNG,ITALIAN DRSNG,COMM,REG,WO/ SALT",292.0,28.37,67.0,10.43,8.32,0.38,1
"SALAD DRSNG,ITALIAN DRSNG,RED FAT,WO/ SALT",76.0,6.38,6.0,4.57,4.55,0.47,1
"SALAD DRSNG,MAYO,SOYBN OIL,WO/SALT",717.0,79.4,59.0,2.7,8.256540404040422,1.1,0
"SALAD DRSNG,FRENCH,CTTNSD,OIL,HOME RECIPE",631.0,70.2,0.0,3.4,8.256540404040422,0.1,0
"SALAD DRSNG,FRENCH DRSNG,FAT-FREE",132.0,0.27,0.0,32.14,16.45,0.2,1
"OIL,COCOA BUTTER",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,CTTNSD,SALAD OR COOKING",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,SUNFLOWER,LINOLEIC,(APPROX. 65%)",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,SAFFLOWER,SALAD OR COOKING,LINOLEIC,(OVER 70%)",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,SAFFLOWER,SALAD OR COOKING,HI OLEIC",884.0,100.0,0.0,0.0,0.0,0.0,0
"VEGETABLE OIL,PALM KERNEL",862.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,POPPYSEED",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,TOMATOSEED",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,TEASEED",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,GRAPESEED",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,CORN,INDUSTRIAL & RTL,ALLPURP SALAD OR COOKING",884.0,100.0,0.0,0.0,0.0,0.0,0
"FAT,MUTTON TALLOW",902.0,100.0,102.0,0.0,0.0,0.0,0
"OIL,WALNUT",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,ALMOND",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,APRICOT KERNEL",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,SOYBN LECITHIN",763.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,HAZELNUT",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,BABASSU",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,SHEANUT",884.0,100.0,0.0,0.0,0.0,0.0,0
"SALAD DRSNG,BLUE OR ROQUEFORT CHS DRSNG,COMM,REG",476.0,51.1,31.0,4.62,3.48,1.37,0
"OIL,CUPU ASSU",884.0,100.0,0.0,0.0,0.0,0.0,0
"FAT,CHICKEN",900.0,99.8,85.0,0.0,0.0,0.0,0
"OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED) & CTTNSD",884.0,100.0,0.0,0.0,0.0,0.0,0
"SHORTENING,HOUSEHOLD,LARD&VEG OIL",900.0,100.0,56.0,0.0,0.0,0.0,0
"OIL,SUNFLOWER,LINOLEIC,(PARTIALLY HYDROGENATED)",884.0,100.0,0.0,0.0,0.0,0.0,0
"SHORTENING BREAD,SOYBN (HYDR)&CTTNSD",884.0,100.0,0.0,0.0,0.0,0.0,0
"SHORTENING CAKE MIX,SOYBN (HYDR)&CTTNSD (HYDR)",884.0,100.0,0.0,0.0,0.0,0.0,0
"SHORTENING INDUSTRIAL,LARD&VEG OIL",900.0,100.0,56.0,0.0,8.256540404040422,0.0,0
"SHORTENING FRYING (HVY DUTY),BF TALLOW&CTTNSD",900.0,100.0,100.0,0.0,8.256540404040422,0.0,0
"SHORTENING CONFECTIONERY,COCNT (HYDR)&OR PALM KERNEL (HYDR)",884.0,100.0,0.0,0.0,0.0,0.0,0
"SHORTENING INDUSTRIAL,SOYBN (HYDR)&CTTNSD",884.0,100.0,0.0,0.0,0.0,0.0,0
"SHORTENING FRYING (HVY DUTY),PALM (HYDR)",884.0,100.0,0.0,0.0,8.256540404040422,0.0,0
SHORTENING HOUSEHOLD SOYBN (HYDR)&PALM,884.0,100.0,0.0,0.0,8.256540404040422,0.0,0
"SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,100.0,0.0,0.0,0.0,0.0,0
"SHORTENING,CONFECTIONERY,FRACTIONATED PALM",884.0,100.0,0.0,0.0,8.256540404040422,0.0,0
"OIL,NUTMEG BUTTER",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,UCUHUBA BUTTER",884.0,100.0,0.0,0.0,0.0,0.0,0
"FAT,DUCK",882.0,99.8,100.0,0.0,0.0,0.0,0
"FAT,TURKEY",900.0,99.8,102.0,0.0,0.0,0.0,0
"FAT,GOOSE",900.0,99.8,100.0,0.0,8.256540404040422,0.0,0
"OIL,AVOCADO",884.0,100.0,41.551994091580504,0.0,8.256540404040422,0.0,0
"OIL,CANOLA",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,MUSTARD",884.0,100.0,41.551994091580504,0.0,8.256540404040422,0.0,0
"OIL,SUNFLOWER,HI OLEIC (70% & OVER)",884.0,100.0,0.0,0.0,0.0,0.0,0
"MARGARINE-LIKE,MARGARINE-BUTTER BLEND,SOYBN OIL & BUTTER",714.0,80.32,12.0,0.77,0.0,0.31,0
"SHORTENING,SPL PURPOSE FOR CAKES&FROSTINGS,SOYBN (HYDR)",884.0,100.0,0.0,0.0,0.0,0.0,0
"SHORTENING,SPL PURPOSE FOR BAKING,SOYBN (HYDR) PALM&CTTNSD",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,OAT",884.0,100.0,0.0,0.0,0.0,0.0,0
"FISH OIL,COD LIVER",902.0,100.0,570.0,0.0,8.256540404040422,0.0,0
"FISH OIL,HERRING",902.0,100.0,766.0,0.0,8.256540404040422,0.0,0
"FISH OIL,MENHADEN",902.0,100.0,521.0,0.0,8.256540404040422,0.0,0
"FISH OIL,MENHADEN,FULLY HYDR",902.0,100.0,500.0,0.0,8.256540404040422,0.0,0
"FISH OIL,SALMON",902.0,100.0,485.0,0.0,8.256540404040422,0.0,0
"FISH OIL,SARDINE",902.0,100.0,710.0,0.0,8.256540404040422,0.0,0
"SHORTENING,MULTIPURPOSE,SOYBN (HYDR)&PALM (HYDR)",884.0,100.0,0.0,0.0,8.256540404040422,0.0,0
"MARGARINE-LIKE,VEG OIL-BUTTER SPRD,TUB,W/ SALT",362.0,40.0,0.0,1.0,0.0,1.0,1
"BUTTER,LT,STK,W/SALT",509.0,55.1,106.0,0.0,0.0,3.3,0
"BUTTER,LT,STK,WO/SALT",499.0,55.1,106.0,0.0,0.0,3.3,0
"MEAT DRIPPINGS (LARD,BF TALLOW,MUTTON TALLOW)",889.0,98.59,101.0,0.0,0.0,0.0,0
"ANIMAL FAT,BACON GREASE",897.0,99.5,95.0,0.0,0.0,0.0,0
"MARGARINE,REG,80% FAT,COMP,STK,W/ SALT",717.0,80.71,0.0,0.7,0.0,0.16,0
"MARGARINE,REG,80% FAT,COMP,TUB,W/ SALT",713.0,80.17,0.0,0.75,0.0,0.22,0
"MARGARINE-LIKE,VEG OIL SPRD,60% FAT,STK,W/ SALT",537.0,60.39,0.0,0.69,0.0,0.12,0
"MARGARINE-LIKE,VEG OIL SPRD,60% FAT,TUB,W/ SALT",533.0,59.81,1.0,0.86,0.0,0.17,0
"MARGARINE-LIKE,VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,W/ SALT",526.0,59.17,1.0,0.0,0.0,0.6,0
"SHORTENING,VEG,HOUSEHOLD,COMP",884.0,99.97,0.0,0.0,0.0,0.0,0
"MARGARINE,REG,80% FAT,COMP,STK,WO/ SALT",717.0,80.71,0.0,0.7,0.0,0.16,0
"MARGARINE,REG,80% FAT,COMP,TUB,WO/ SALT",713.0,80.17,0.0,0.75,0.0,0.22,0
"VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,WO/ SALT",533.0,59.81,1.0,0.86,0.0,0.17,0
"MARGARINE-LIKE,VEG OIL SPRD,FAT FREE,LIQ,W/ SALT",43.0,3.0,1.0,2.5,0.0,1.5,1
"MARGARINE-LIKE SPRD W/ YOGURT,70% FAT,STK,W/ SALT",630.0,70.0,0.0,0.5,0.0,0.3,0
"MARGARINE-LIKE SPRD W/ YOGURT,APPROX 40% FAT,TUB,W/ SALT",330.0,35.0,0.0,2.0,0.0,2.0,1
"MARGARINE,80% FAT,STK,INCL REG & HYDR CORN & SOYBN OILS",717.0,80.71,0.0,0.7,8.256540404040422,0.16,0
"MARGARINE, VEG OIL SPRD,70% FAT,SOYBN & PART HYDR SOYBN,STK",628.0,70.22,0.0,1.53,8.256540404040422,0.26,0
"MARGARINE SPRD,APPROX 48% FAT,TUB",424.0,47.53,1.0,0.86,8.256540404040422,0.2,0
"MARGARINE-LIKE,VEG OIL SPRD,FAT-FREE,TUB",44.0,3.04,0.0,4.34,0.0,0.1,1
"MARGARINE-LIKE,VEG OIL SPRD,20% FAT,W/ SALT",175.0,19.5,0.0,0.4,0.0,0.0,1
"MARGARINE-LIKE,VEG OIL SPRD,20% FAT,WO/ SALT",175.0,19.5,0.0,0.4,0.0,0.0,1
"SALAD DRSNG,1000 ISLAND DRSNG,FAT-FREE",132.0,1.45,5.0,29.27,16.83,0.55,1
"SALAD DRSNG,ITALIAN DRSNG,FAT-FREE",47.0,0.87,2.0,8.75,8.85,0.97,1
"SALAD DRSNG,RANCH DRSNG,FAT-FREE",119.0,1.92,7.0,26.51,5.35,0.25,1
"SALAD DRSNG,RANCH DRSNG,COMM,REG",484.0,51.39,33.0,6.69,2.45,1.03,0
"SALAD DRSNG,RANCH DRSNG,RED FAT",196.0,12.42,16.0,21.33,3.77,1.25,1
"SALAD DRSNG,MAYO,LT",324.0,33.09,35.0,8.2,4.34,0.88,1
"OIL,INDUSTRIAL,MID-OLEIC,SUNFLOWER",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,CANOLA W/ ANTIFOAMING AGENT",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,CANOLA FOR SALADS,WOKS & LT FRYING",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,INDUS,CANOLA (PART HYDROG) OIL FOR DEEP FAT FRYING",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,COCNT",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,SOY (PART HYDR),FOR POPCORN & FLAVORING VEG",884.0,100.0,0.0,0.0,0.0,0.0,0
"SHORTENING,INDUS,SOY (PART HYDROG),POURABLE LIQ FRY",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,SOY,REFINED,FOR WOKS & LT FRYING",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,SOY (PART HYDR),FOR NON-DAIRY BUTTER FLAVOR",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,SOY ( PART HYDROGENATED),ALLPURP",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,SOY (PART HYDR ) & SOY,POURABLE FRY",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,INDUS,SOY (PART HYDROG) & CTTNSD,TORTILLA SHORTENING",884.0,100.0,0.0,0.0,0.0,0.0,0
"MARGARINE-LIKE SHORTENING,INDUS,SOY(PART  HYDR),CTTNSD,& SOY",628.0,71.0,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,PALM KERNEL,CONFECTION FAT",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,PALM KERNEL (HYDROGENATED),CONFECTION FAT",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,PALM KERNEL (HYDROGENATED),CONFECTION FAT",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,COCNT,CONFECTION FAT,ICE CRM COATINGS",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,PALM KERNEL (HYDROG) FOR WHIPPED TOPPINGS",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,COCNT (HYDROGENATED),FOR TOPPINGS & WHITENERS",880.0,99.5,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,PALM & PALM KERNEL,FILLING FAT (NON-HYDROG)",880.0,99.5,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,PALM KERNEL (HYDROGENATED),FILLING FAT",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,SOY (PARTHYDR ),PALM, ICINGS & FILLINGS",884.0,100.0,0.0,0.0,0.0,0.0,0
"MARGARINE,INDUS,NON-DAIRY,CTTNSD,SOY OIL (PART HYDR )",714.0,80.2,0.0,0.0,0.0,1.9,0
"SHORTENING,INDUSTRIAL,SOY (PARTIALLY HYDR )&CORN FOR FRYING",884.0,100.0,0.0,0.0,0.0,0.0,0
"SHORTENING,INDUS,SOY (PART HYDR ) FOR BAKING & CONFECTIONS",884.0,100.0,0.0,0.0,0.0,0.0,0
"MARGARINE,INDUS,SOY & PART HYDR SOY OIL,BAKING,SAUCES,CANDY",714.0,80.0,0.0,0.71,0.0,0.18,0
"USDA CMDTY FD,OIL,VEG,SOYBN,REFINED",884.0,100.0,0.0,0.0,0.0,0.0,0
"USDA CMDTY FD,OIL,VEG,LO SATURATED FAT",884.0,100.0,0.0,0.0,0.0,0.0,0
"MARGARINE-LIKE SPRD,SMART BALANCE REG BUTTERY SPRD",583.0,64.63,0.0,0.14,0.0,0.14,0
"MARGARINE-LIKE SPRD,SMART BALANCE LT BUTTERY SPRD",337.0,36.41,41.551994091580504,1.98,8.256540404040422,0.02,1
"MARGARINE-LIKE SPRD,SMART BEAT SUPER LT WO/ SATURATED FAT",158.0,17.1,0.0,0.0,0.0,0.0,1
"MARGARINE-LIKE SPRD,SMART BEAT SMART SQUEEZE",47.0,2.1,0.0,7.1,1.0,0.0,1
"MARGARINE-LIKE SPRD,SMART BALANCE OMEGA PLUS SPRD",605.0,70.95,23.0,0.16,0.0,0.13,0
"OIL,VEG,NATREON CANOLA,HI STABILITY,NON TRANS,HI OLEIC (70%)",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,PAM COOKING SPRAY,ORIGINAL",792.0,78.69,0.0,20.69,0.0,0.26,0
"MARGARINE,MARGARINE-LIKE VEG OIL SPRD,67-70% FAT,TUB",606.0,68.29,41.551994091580504,0.59,8.256540404040422,0.07,0
"MARGARINE,80% FAT,TUB,CANOLA HARVEST SOFT SPRD",730.0,80.32,41.551994091580504,1.39,8.256540404040422,0.41,0
"OIL,COOKING & SALAD,ENOVA,80% DIGLYCERIDES",884.0,100.0,41.551994091580504,0.0,8.256540404040422,0.0,0
"SALAD DRSNG,HONEY MUSTARD DRSNG,RED CAL",207.0,10.0,0.0,29.27,18.33,0.98,1
"MARGARINE-LIKE SPRD,BENECOL LT SPRD",357.0,38.71,41.551994091580504,5.71,8.256540404040422,0.0,0
"SALAD DRSNG,SPRAY-STYLE DRSNG,ASSORTED FLAVORS",165.0,10.75,0.0,16.6,14.29,0.16,1
"SALAD DRSNG,MAYO,LT,SMART BALANCE,OMEGA PLUS LT",333.0,34.18,33.0,9.39,5.38,1.53,1
"VEG OIL SPRD,37% FAT,UNSPEC OILS,W/ SALT,W/ ADDED VITAMIN D",339.0,37.77,0.0,0.66,0.0,0.51,1
"MARGARINE,REG,80% FAT,COMP,STK,W/ SALT,W/ ADDED VITAMIN D",717.0,80.71,0.0,0.7,0.0,0.16,0
"MARGARINE,REG,80% FAT,COMP,TUB,W/ SALT,W/ ADDED VITAMIN D",713.0,80.17,0.0,0.75,0.0,0.22,0
"VEG OIL SPRD,60% FAT,STK,W/ SALT,W/ ADDED VITAMIN D",537.0,60.39,0.0,0.69,0.0,0.12,0
"VEG OIL SPRD,60% FAT,TUB,W/ SALT,W/ ADDED VITAMIN D",533.0,59.81,1.0,0.86,0.0,0.17,0
"VEG-OIL SPRD,STICK/TUB/BOTTLE,60% FAT,W/ ADDED VITAMIN D",535.0,59.17,1.0,0.0,0.0,0.6,0
"MARGARINE,REG,80% FAT,COMP,STK,WO/ SALT,W/ ADDED VITAMIN D",717.0,80.71,0.0,0.7,0.0,0.16,0
"VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,WO/ SALT,W/VIT D",542.0,59.81,1.0,0.86,0.0,0.17,0
"OIL,INDUSTRIAL,CANOLA,HI OLEIC",900.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,SOY,LO LINOLENIC",900.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,SOY,ULTRA LO LINOLENIC",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,SOY,FULLY HYDR",884.0,100.0,0.0,0.0,0.0,0.0,0
"OIL,INDUSTRIAL,CTTNSD,FULLY HYDR",884.0,100.0,0.0,0.0,0.0,0.0,0
"SALAD DRSNG,HONEY MUSTARD,REG",464.0,40.83,29.0,23.33,15.84,0.87,0
"SALAD DRSNG,POPPYSEED,CREAMY",399.0,33.33,15.0,24.53,23.39,0.92,0
"SALAD DRSNG,CAESAR,FAT-FREE",131.0,0.23,1.0,30.73,8.82,1.47,1
"DRESSING,HONEY MUSTARD,FAT-FREE",169.0,1.47,1.0,38.43,17.75,1.07,1
"OIL,FLAXSEED,CONTAINS ADDED SLICED FLAXSEED",878.0,99.01,0.0,0.39,8.256540404040422,0.37,0
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN&GIBLETS&NECK,RAW",213.0,14.83,90.0,0.13,8.256540404040422,18.33,1
"CHICKEN,BROILER OR FRYER,MEAT&SKN&GIBLETS&NECK,FRIED,BATTER",291.0,17.53,103.0,9.03,8.256540404040422,22.84,1
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN&GIBLETS&NECK,FRIED,FLR",272.0,15.27,112.0,3.27,8.256540404040422,28.57,1
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN&GIBLETS&NECK,RSTD",234.0,13.27,107.0,0.06,0.0,26.78,1
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN&GIBLETS&NECK,STWD",216.0,12.37,97.0,0.06,8.256540404040422,24.49,1
"CHICKEN,BROILERS OR FRYERS,MEAT & SKN,RAW",215.0,15.06,75.0,0.0,0.0,18.6,1
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,FRIED,BATTER",289.0,17.35,87.0,9.42,0.0,22.54,1
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,FRIED,FLR",269.0,14.92,90.0,3.15,0.0,28.56,1
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,RSTD",239.0,13.6,88.0,0.0,0.0,27.3,1
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,STWD",219.0,12.56,78.0,0.0,0.0,24.68,1
"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RAW",119.0,3.08,70.0,0.0,0.0,21.39,1
"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,CKD,FRIED",219.0,9.12,94.0,1.69,0.0,30.57,1
"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RSTD",190.0,7.41,89.0,0.0,0.0,28.93,1
"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,STWD",177.0,6.71,83.0,0.0,0.0,27.29,1
"CHICKEN,BROILERS OR FRYERS,SKN ONLY,RAW",349.0,32.35,109.0,0.0,0.0,13.33,1
"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,FRIED,BATTER",394.0,28.83,74.0,23.15,8.256540404040422,10.32,0
"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,FRIED,FLR",502.0,42.58,73.0,9.34,8.256540404040422,19.09,0
"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,RSTD",454.0,40.68,83.0,0.0,0.0,20.36,1
"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,STWD",363.0,33.04,63.0,0.0,8.256540404040422,15.22,1
"CHICKEN,BROILERS OR FRYERS,GIBLETS,RAW",124.0,4.47,262.0,1.8,8.256540404040422,17.88,1
"CHICKEN,BROILERS OR FRYERS,GIBLETS,CKD,FRIED",277.0,13.46,446.0,4.35,8.256540404040422,32.54,1
"CHICKEN,BROILERS OR FRYERS,GIBLETS,CKD,SIMMRD",157.0,4.5,442.0,0.0,0.0,27.15,1
"CHICKEN,GIZZARD,ALL CLASSES,RAW",94.0,2.06,240.0,0.0,0.0,17.66,1
"CHICKEN,GIZZARD,ALL CLASSES,CKD,SIMMRD",154.0,2.68,370.0,0.0,0.0,30.39,1
"CHICKEN,HEART,ALL CLASSES,RAW",153.0,9.33,136.0,0.71,8.256540404040422,15.55,1
"CHICKEN,HEART,ALL CLASSES,CKD,SIMMRD",185.0,7.92,242.0,0.1,8.256540404040422,26.41,1
"CHICKEN,LIVER,ALL CLASSES,RAW",119.0,4.83,345.0,0.73,0.0,16.92,1
"CHICKEN,LIVER,ALL CLASSES,CKD,SIMMRD",167.0,6.51,563.0,0.87,0.0,24.46,1
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT & SKN,RAW",186.0,11.07,67.0,0.0,0.0,20.27,1
